Artist,Track,User,Rating,Time
1,6,3475,33.690254,18
6,149,39210,47.891064,15
40,177,47861,12.385782,17
31,79,27413,26.360544,11
26,66,23232,25.294502,22
26,61,22055,57.62269,22
2,68,24799,17.514442,22
25,59,18862,20.55009,21
0,150,38832,25.919052,15
1,6,2963,46.133984,18
2,174,50279,29.780275,17
0,151,40651,29.582464,15
22,122,32258,32.29769,0
26,61,24022,58.474766,22
42,158,41437,28.313004,16
22,52,17546,11.446802,21
16,138,34937,23.997303,12
39,106,27891,29.937307,23
32,83,25811,29.037092,11
46,169,44548,41.423595,16
10,26,9404,52.46789,7
41,156,41323,60.383995,16
0,2,482,46.8413,6
43,159,42937,65.047386,16
10,140,33966,20.841667,12
30,76,24111,23.706112,22
10,144,33620,16.746355,12
25,59,19890,47.660706,21
0,150,39322,39.364624,15
22,55,20599,40.29175,21
35,88,29074,44.24053,23
22,121,33040,29.87888,0
8,20,8977,29.104298,7
35,90,30817,20.44803,23
46,165,45243,20.163977,16
2,175,49529,50.226295,17
2,174,48639,17.820673,17
26,66,24087,54.467575,22
37,101,31068,29.595726,23
4,12,36718,57.07683,13
1,6,3796,39.31261,18
34,86,27805,50.582764,23
4,11,3559,87.22183,18
38,102,27848,22.603004,23
6,16,6218,24.305614,7
49,182,50382,22.752317,17
14,95,27721,18.016487,23
21,49,19533,32.14479,21
21,48,22314,36.601894,22
26,63,23166,35.385494,22
26,63,23815,46.04971,22
41,155,42550,66.64099,16
9,21,7880,89.35033,7
26,63,23862,39.791306,22
20,46,18515,12.954652,21
11,152,38579,51.134167,15
7,17,8815,49.06048,7
30,76,24859,40.927063,22
32,81,27217,31.313824,11
44,162,41611,66.657745,16
26,67,23111,23.926044,22
1,6,2050,19.922113,18
16,139,34813,27.552603,12
32,84,26515,47.383293,11
26,67,21841,20.106745,22
46,166,45409,20.215914,16
22,125,32920,18.54187,0
10,145,35357,15.270169,12
30,76,23900,21.109264,22
26,62,23302,38.45837,22
22,129,32257,48.253002,0
42,157,41556,27.44569,16
22,113,33185,35.10771,0
0,2,42,41.695713,6
14,32,11191,45.05263,19
44,161,42454,28.990292,16
33,85,35671,16.165455,12
44,162,41997,59.96209,16
45,163,45056,40.69759,16
26,62,23208,48.560337,22
41,156,41692,29.536655,16
26,63,21724,20.484211,22
46,165,45220,32.927097,16
38,102,31919,12.101233,23
33,85,35686,27.157656,12
24,58,21088,26.98888,21
16,139,33583,36.89369,12
39,106,30090,40.422802,23
4,12,5510,61.104927,18
16,135,33457,44.95055,12
3,10,3393,72.155754,18
2,7,3131,29.558851,18
47,170,46080,9.897826,4
13,31,13280,30.169891,19
46,169,43575,32.53227,16
10,143,35398,24.71655,12
35,90,29982,35.222427,23
17,36,16261,50.480404,8
0,1,762,44.172413,6
26,66,23586,27.424913,22
47,171,46709,15.071,4
11,153,40843,18.368876,15
22,128,32245,29.713627,0
41,155,42629,59.480965,16
42,158,41849,21.976946,16
0,2,1495,37.76993,6
0,1,38667,34.504276,15
26,67,23285,57.98573,22
20,45,18515,16.666842,21
37,100,32077,48.475204,23
20,44,17589,30.490461,21
48,172,47637,16.58603,17
20,46,18898,21.561707,21
35,89,29696,28.461493,23
25,59,19947,16.36428,21
21,51,19543,41.441082,21
10,144,35635,28.404915,12
11,153,39705,43.938164,15
3,10,4494,45.086277,18
22,122,32869,35.61548,0
21,47,20115,26.086563,21
18,38,16644,38.509575,9
1,5,3980,11.565847,18
11,28,10567,1.9103347,7
6,15,6278,41.112343,7
21,48,22231,44.606724,22
21,22,17501,40.613094,21
47,170,46093,27.35996,4
16,139,33667,65.52862,12
26,67,23894,52.998795,22
2,175,50238,24.984802,17
10,26,10451,95.30529,7
21,47,17475,48.513233,21
27,71,24854,8.770283,22
34,87,28666,35.623405,23
39,105,31775,46.14111,23
5,13,3522,22.350895,18
29,75,25074,23.498974,22
20,44,18565,28.354063,21
35,90,29629,21.769548,23
22,131,32660,37.274277,0
8,20,9287,31.412739,7
22,115,32926,36.49352,0
37,98,31996,16.150627,23
10,26,9000,90.75854,7
2,70,21977,33.158817,22
33,85,26260,42.392662,11
12,30,11280,16.076687,19
20,44,18190,22.011536,21
9,22,9433,24.278784,7
28,72,24342,20.832745,22
38,102,27820,38.65673,23
22,125,33050,37.427208,0
0,1,929,28.979477,6
45,164,44890,34.921833,16
46,165,44994,41.43901,16
48,172,48556,19.509056,17
2,8,1811,49.351376,18
16,136,33328,49.49706,12
0,1,718,18.511824,6
35,92,29748,42.027073,23
1,5,3060,18.53119,18
6,16,5772,44.65444,7
26,66,21361,28.41452,22
11,154,39483,20.50086,15
0,1,1183,22.18363,6
44,162,42034,22.79541,16
35,88,28048,24.645527,23
39,105,29922,15.955337,23
3,9,5461,42.0007,18
22,52,19082,55.983746,21
16,135,34261,38.619495,12
17,36,16251,24.72586,8
29,75,25282,34.12775,22
23,56,20622,40.009872,21
39,105,27759,27.450125,23
21,47,19777,30.093727,21
20,44,19034,15.874008,21
1,4,3680,44.88728,18
21,60,21446,63.40107,22
22,53,19831,16.70054,21
11,152,38823,56.472336,15
30,78,24670,38.075943,22
0,150,40395,46.223297,15
39,105,31999,36.39871,23
28,73,24136,38.378086,22
7,17,8732,22.101894,7
46,168,45194,49.715122,16
26,65,23127,20.454332,22
32,84,26234,41.168114,11
37,99,28874,10.81412,23
8,20,6894,88.711235,7
9,22,6836,37.523815,7
22,110,32539,93.49291,0
2,7,4109,44.91959,18
18,39,16737,9.825482,9
11,29,6576,19.88423,7
22,132,32428,23.892649,0
44,161,42237,17.82454,16
32,84,25900,32.466297,11
21,48,22033,53.395344,22
21,60,22148,27.807846,22
33,85,25673,27.717556,11
22,52,20975,49.6368,21
16,135,34040,75.4154,12
3,10,5257,60.28001,18
22,53,20030,38.428913,21
3,9,4150,36.353466,18
4,12,36482,23.274197,13
44,162,42584,69.7107,16
46,165,45463,34.057983,16
10,143,34219,59.97882,12
1,5,3114,15.683383,18
26,63,23625,57.410397,22
6,148,39525,28.711538,15
22,112,32258,34.286182,0
26,62,23822,33.43765,22
10,25,8013,39.507793,7
2,175,50087,33.596493,17
26,61,23760,50.046806,22
35,91,30126,18.98347,23
40,176,48304,10.718137,17
10,140,35111,37.4075,12
14,95,31816,49.139477,23
6,16,6610,31.825947,7
3,9,2635,35.109356,18
4,11,5082,83.11416,18
37,100,31248,19.94408,23
14,96,30709,17.80094,23
6,148,39961,42.493065,15
35,89,30036,14.8370905,23
47,171,46530,45.212044,4
48,172,48353,32.246674,17
6,149,39751,23.60538,15
35,89,29808,42.93984,23
7,19,7865,59.68993,7
10,140,35258,42.935287,12
30,78,24716,14.497601,22
7,19,8822,66.920105,7
35,88,29546,26.178036,23
30,78,24839,26.321325,22
26,66,23364,29.475706,22
32,84,26086,29.929646,11
10,27,9875,28.0507,7
10,27,6764,49.125484,7
37,101,28416,11.633956,23
23,56,20734,16.860788,21
14,96,31697,24.658968,23
22,54,18869,50.81639,21
16,134,34473,32.67535,12
32,81,27450,41.289295,11
2,173,50114,14.465099,17
10,140,35313,45.05476,12
31,80,27153,31.330156,11
21,49,19964,13.44351,21
32,81,25524,43.20763,11
6,15,6985,94.00995,7
49,182,50534,68.87656,17
21,51,20048,12.19427,21
10,142,35358,22.645844,12
14,96,31217,18.460035,23
4,11,36763,95.55427,13
28,72,24111,24.75907,22
40,180,50064,31.59075,17
11,153,39769,21.675327,15
0,1,799,75.914665,6
0,150,40880,33.624084,15
31,79,26062,36.371483,11
14,96,30294,52.80849,23
47,170,46201,51.782036,4
25,59,20793,15.724506,21
9,21,10353,23.652845,7
26,62,23735,51.08479,22
3,10,4489,55.420635,18
20,45,17992,26.575455,21
39,104,31205,67.2149,23
24,58,20432,22.23315,21
37,98,28957,14.656274,23
16,135,34400,26.88268,12
49,183,50008,41.68823,17
17,36,16068,35.85965,8
28,72,23452,56.36848,22
15,42,16988,44.751,9
26,64,24093,43.50506,22
34,86,28408,52.56223,23
33,85,33307,45.063343,12
11,152,39100,12.74256,15
22,112,32239,33.05189,0
14,32,11791,60.587,19
24,58,17459,52.3391,21
39,105,28328,38.358902,23
12,34,15460,20.06679,8
23,56,20422,25.358639,21
3,10,2364,88.034355,18
46,168,44609,14.507839,16
26,66,22789,63.801064,22
37,97,31197,39.17684,23
10,25,7746,30.189312,7
35,88,29655,77.73688,23
21,49,20050,43.879646,21
14,94,28305,21.819977,23
14,95,27708,33.69539,23
25,59,18650,16.563179,21
30,76,24298,49.142437,22
40,147,36983,41.563007,13
46,168,44664,50.344387,16
34,87,29029,40.5054,23
21,51,20114,45.584892,21
45,164,44921,60.5974,16
40,179,49450,22.163452,17
10,25,6500,34.60643,7
6,148,38433,33.85648,15
20,44,17496,23.304626,21
7,17,8371,71.45266,7
33,85,27549,29.616575,11
9,22,9463,19.016068,7
21,48,22104,34.203686,22
26,64,22587,45.005653,22
37,97,31693,68.44574,23
21,49,19345,55.204426,21
29,74,24857,16.850698,22
4,12,37268,75.52919,13
10,145,34435,48.36739,12
26,61,22118,31.556904,22
21,60,21347,20.676325,22
6,149,39058,35.58886,15
16,35,16387,61.89209,8
46,169,43946,23.088327,16
48,172,48538,25.835068,17
43,159,42612,47.275936,16
22,54,19336,53.383137,21
6,14,6587,4.981072,7
42,157,41694,15.873389,16
6,14,6309,19.11113,7
14,94,29468,24.290049,23
11,29,10622,28.411922,7
18,38,16759,12.495411,9
40,179,50617,38.29225,17
4,11,4613,33.628338,18
33,85,34155,43.75904,12
14,96,29651,46.754932,23
2,173,49433,44.53409,17
10,145,35749,46.827587,12
26,65,24153,44.160995,22
0,151,40652,33.25276,15
41,156,41412,55.420048,16
11,154,38484,36.98993,15
48,172,48295,17.788237,17
37,100,27918,8.136444,23
39,104,28154,19.791176,23
23,56,21056,14.94236,21
4,11,3257,22.350878,18
10,24,6439,17.897917,7
10,140,34834,24.462704,12
46,167,45189,48.895462,16
2,70,22826,46.013077,22
37,100,28893,7.512545,23
0,3,988,24.951405,6
21,50,19229,12.450398,21
22,53,20714,35.268944,21
33,85,33878,67.9392,12
21,48,19946,13.013181,21
21,49,17938,12.362133,21
21,48,20231,18.775387,21
33,85,26629,16.24702,11
24,58,18405,25.206072,21
14,95,30987,16.149445,23
45,164,43908,53.827435,16
10,26,10480,58.467827,7
2,8,2692,45.633007,18
37,101,31941,46.321663,23
2,7,1805,43.016613,18
7,19,6234,68.536575,7
22,54,19485,45.610935,21
21,50,19855,28.517183,21
11,152,40900,74.08457,15
3,9,3198,45.97846,18
46,168,45459,34.57361,16
35,89,30190,35.803337,23
16,134,33808,65.73991,12
40,178,50732,29.592743,17
44,161,42475,51.747826,16
4,11,4813,78.79438,18
47,171,46337,10.638602,4
40,178,50400,66.444855,17
11,29,8969,67.17799,7
43,159,42924,33.83835,16
20,45,17247,21.807604,21
17,36,14070,49.046024,8
46,165,45454,38.86572,16
21,22,17719,36.103577,21
26,62,22970,21.366093,22
36,93,28952,15.712503,23
20,45,17633,7.608365,21
36,93,29287,45.033096,23
33,85,26547,18.656328,11
14,95,31793,39.029125,23
10,140,34644,25.647543,12
28,72,24202,14.650511,22
29,75,25304,28.920061,22
46,165,44831,18.401375,16
39,103,29669,70.40462,23
2,7,4993,19.771303,18
21,49,19579,26.311337,21
40,178,48947,33.295784,17
40,180,48855,10.063744,17
15,33,12031,42.29497,19
0,1,441,42.541943,6
20,45,17738,25.462944,21
16,136,34780,42.05586,12
4,11,4898,62.02913,18
16,137,34689,43.95053,12
42,157,42647,38.30843,16
2,173,48484,54.60055,17
39,103,31955,32.53948,23
43,159,40949,65.812065,16
9,21,7831,28.170397,7
29,74,23046,58.157238,22
11,28,10942,32.27098,7
30,76,23734,28.950151,22
45,163,45205,20.110567,16
41,155,40969,65.714035,16
2,70,24520,31.339108,22
26,61,21820,16.990334,22
10,25,10548,32.576317,7
26,62,21674,43.373833,22
22,52,18881,12.753559,21
10,144,33285,12.187427,12
42,158,42014,53.357594,16
6,15,5738,19.349009,7
36,93,31194,66.150116,23
11,29,8051,18.169138,7
0,1,1567,32.50915,6
46,168,44841,24.6966,16
6,148,39916,47.501038,15
22,110,32996,23.076868,0
22,55,20826,68.42977,21
7,18,8312,69.025734,7
40,176,48328,29.046894,17
32,84,27497,65.95665,11
26,63,23349,12.464213,22
30,77,21365,36.060955,22
10,24,10097,73.182465,7
12,34,15181,25.593058,8
2,174,49389,27.3185,17
0,0,101,31.572687,6
7,18,8258,58.370926,7
39,106,27788,39.71541,23
14,94,30584,19.925207,23
24,58,21066,3.8154743,21
26,64,23055,70.03616,22
26,67,24157,41.200294,22
22,124,32449,43.362762,0
31,80,27185,11.534517,11
13,31,11354,15.812893,19
22,129,33002,53.845436,0
6,148,39260,32.604275,15
16,138,33704,40.789528,12
10,141,34339,36.02221,12
35,90,30243,25.09609,23
31,80,27061,13.217469,11
31,80,26722,25.324389,11
33,85,33636,37.7524,12
21,48,19435,42.764824,21
45,163,45255,67.04581,16
22,120,32427,29.084255,0
5,13,4285,44.674397,18
10,27,6624,28.070152,7
23,57,17390,35.09017,21
30,76,24889,47.149635,22
20,45,19023,37.143417,21
26,64,23956,64.141136,22
30,78,21983,48.55248,22
28,73,23557,53.79855,22
46,168,43471,70.869545,16
21,22,17568,51.321663,21
5,13,2767,22.6804,18
13,31,13125,65.872696,19
1,4,2700,27.666286,18
2,70,22037,32.608612,22
11,152,39264,18.659248,15
47,171,46768,10.433546,4
22,121,32502,33.485283,0
26,66,24122,50.2696,22
27,71,23403,23.604084,22
21,48,19507,26.364435,21
42,158,42913,39.12232,16
11,29,7167,40.31311,7
2,68,21337,82.86947,22
10,141,33388,16.526758,12
42,158,41851,38.4065,16
9,22,6119,42.241444,7
35,90,30145,18.801304,23
49,182,49306,24.103428,17
2,175,49376,62.292664,17
11,29,10775,20.892397,7
23,56,20083,32.863743,21
22,118,32989,39.94575,0
17,36,16051,33.402237,8
9,22,10172,47.522728,7
9,22,8403,57.641674,7
25,59,21126,17.62844,21
18,38,16795,37.108437,9
10,140,33437,17.198584,12
16,138,33651,31.066036,12
16,135,35050,11.691907,12
14,96,31996,38.892666,23
29,75,22124,16.620888,22
33,85,34553,35.241245,12
25,59,19790,18.942146,21
1,4,2656,15.96319,18
22,126,32598,61.774628,0
22,133,32815,17.135592,0
30,77,25260,24.177835,22
40,146,37612,18.480259,13
16,139,34021,40.480118,12
47,170,47141,52.52284,4
39,106,29927,31.696379,23
2,8,4453,34.025215,18
22,122,32464,45.651134,0
6,15,5866,56.69955,7
2,173,49309,8.118953,17
11,28,10618,5.0495725,7
6,15,7321,30.450146,7
0,3,461,39.273865,6
3,9,5372,35.877563,18
35,92,30411,35.06881,23
22,129,32749,27.36883,0
26,65,23147,56.89564,22
14,95,30021,24.128792,23
21,60,22611,53.204376,22
10,145,35398,24.823967,12
40,178,50595,29.395233,17
10,142,34604,29.868868,12
2,7,2139,25.409067,18
2,175,49743,50.60923,17
22,129,32640,23.645716,0
6,15,6843,31.359798,7
49,182,48837,65.775635,17
21,48,22691,21.168882,22
14,32,12914,26.776155,19
0,2,1502,15.591841,6
12,30,11151,25.303537,19
35,88,28882,55.133415,23
16,35,13604,24.312572,8
0,0,1690,58.397697,6
0,2,206,28.244974,6
45,163,44491,16.864416,16
2,69,21839,20.731007,22
42,158,42896,81.03083,16
20,44,18801,21.805887,21
22,54,19988,37.84889,21
20,45,18985,41.7215,21
16,139,33450,47.255455,12
22,53,17922,22.700712,21
26,62,21843,18.913313,22
22,52,32936,38.770782,0
5,13,3975,46.94362,18
0,0,407,31.392319,6
17,36,15346,42.624847,8
20,44,17588,18.352179,21
45,163,43761,72.42806,16
43,159,42775,62.35178,16
48,172,47881,18.001894,17
39,106,28807,4.160607,23
37,99,31819,45.061077,23
14,96,31807,41.217697,23
2,173,49659,16.948492,17
23,56,18595,49.349083,21
20,45,18774,17.662651,21
33,85,27122,42.192,11
49,182,49817,45.674862,17
22,108,32339,64.66382,0
30,76,25053,9.547823,22
40,147,37376,58.288082,13
31,79,27092,35.076694,11
26,66,23519,63.537754,22
28,72,22497,15.383724,22
34,86,28844,41.018642,23
28,73,24139,22.620916,22
2,173,49262,7.57691,17
25,59,19873,30.877851,21
6,15,7075,18.079857,7
7,17,7407,22.355629,7
40,180,49950,8.231485,17
36,93,30276,39.521103,23
22,120,32756,50.24276,0
24,58,19690,8.884597,21
27,71,23105,15.098509,22
6,148,39803,30.941076,15
46,169,44698,21.618948,16
41,156,41876,56.555202,16
5,13,5576,50.950153,18
43,160,41530,57.85836,16
23,57,20075,26.672485,21
10,24,8322,65.800545,7
14,32,12722,44.536495,19
31,79,26185,16.450768,11
9,23,9908,58.46849,7
10,24,8335,26.820312,7
16,137,33514,12.745213,12
37,98,29875,12.981735,23
2,173,49820,16.790625,17
22,109,33074,8.151161,0
3,10,5240,19.48202,18
11,152,38449,19.32416,15
1,6,2638,39.558704,18
10,141,33746,66.23705,12
10,24,9689,17.844332,7
9,22,9618,58.59851,7
12,30,11709,52.61742,19
38,102,31131,24.771767,23
31,80,25724,11.711086,11
14,96,31167,21.634907,23
0,150,40674,41.7481,15
2,7,4249,42.364674,18
6,15,5908,35.248405,7
40,177,47942,20.260508,17
26,61,23554,52.778866,22
5,13,4396,25.07981,18
16,135,33720,82.35466,12
41,155,42150,20.592443,16
23,57,21210,22.014055,21
22,54,17350,48.88564,21
46,165,44735,12.095113,16
2,70,23284,36.949432,22
22,119,32849,15.93101,0
14,94,28924,39.699787,23
28,73,24434,29.007252,22
10,145,33425,41.77722,12
14,94,30474,23.769367,23
12,30,11911,9.886805,19
29,74,21852,15.666657,22
30,76,21348,17.243715,22
43,160,41107,35.96723,16
4,12,3103,75.90379,18
47,170,46381,36.44618,4
31,79,25520,15.914422,11
32,83,25968,46.06832,11
32,84,26770,52.991615,11
35,90,30791,35.52545,23
47,170,46864,18.235016,4
47,170,46692,31.93508,4
45,164,45179,30.81862,16
30,76,25429,29.554588,22
11,154,39654,40.817577,15
22,52,21046,25.168991,21
21,47,20317,42.72449,21
22,54,32981,98.02753,0
4,12,2857,68.96396,18
5,13,5063,18.140116,18
0,1,68,24.180698,6
14,96,27822,19.88671,23
30,77,24533,44.69465,22
2,69,24714,16.20015,22
44,161,42455,53.2061,16
6,148,39228,34.506824,15
6,149,39884,42.08521,15
10,143,35060,29.113962,12
35,90,30055,29.570852,23
40,147,37557,33.761192,13
40,178,48136,25.641138,17
28,72,22620,38.397297,22
0,1,40614,59.780838,15
4,12,4878,47.328754,18
16,136,34192,30.707655,12
20,44,17776,40.51121,21
35,90,29163,40.716812,23
1,4,2179,37.740353,18
29,74,23767,53.062923,22
0,1,494,20.90794,6
10,27,10441,56.827614,7
4,11,5379,58.79466,18
4,11,37811,17.034637,13
3,9,3737,49.794098,18
22,54,20877,11.198647,21
46,168,43439,27.917606,16
39,106,27830,10.443131,23
39,104,31461,33.14018,23
9,21,7935,56.575348,7
22,54,18175,79.910225,21
10,143,35974,35.809814,12
10,140,33691,29.107006,12
22,52,18660,62.94969,21
4,12,37068,33.63051,13
44,161,43207,56.609013,16
16,136,33580,8.7387905,12
32,84,27005,57.747265,11
39,106,29537,31.050596,23
49,182,47821,45.192596,17
20,45,18183,29.661114,21
2,70,21636,50.418198,22
22,129,33145,52.402,0
16,136,34367,52.528988,12
39,104,31955,30.679165,23
47,171,47237,17.607485,4
40,147,37714,14.335585,13
21,47,20271,11.18882,21
37,101,31857,4.601132,23
9,21,9433,27.465645,7
32,83,27180,37.632458,11
2,69,22110,20.188215,22
35,92,28440,40.868397,23
10,26,8772,33.144054,7
40,147,37015,40.252735,13
3,10,5259,32.765713,18
4,11,37605,44.313072,13
16,137,33811,4.7611794,12
14,32,11388,18.611174,19
45,164,45216,32.90266,16
